ndx:	HR:MN:SC:1/128s:	x:	y:	z:	unit factor			x:	y:	z:	modulus			
33	00:00:02:124	20	5	248				0,079551478	0,01988787	0,986438328	0,989840664			
34	00:00:02:124	22	2	246				0,087506626	0,007955148	0,97848318	0,982420495			
35	00:00:02:124	17	4	245				0,067618756	0,015910296	0,974505607	0,976978306			
36	00:00:02:124	15	5	246				0,059663609	0,01988787	0,97848318	0,980502222			
37	00:00:02:124	10	6	250				0,039775739	0,023865443	0,994393476	0,995474788			
38	00:00:02:124	14	6	248				0,055686035	0,023865443	0,986438328	0,988297055			
39	00:00:02:124	18	3	251				0,07159633	0,011932722	0,99837105	1,001006083			
40	00:00:02:125	18	9	253				0,07159633	0,035798165	1,006326198	1,009504809			
41	00:00:02:125	20	7	256				0,079551478	0,027843017	1,018258919	1,021741111			
42	00:00:02:125	19	3	257				0,075573904	0,011932722	1,022236493	1,025095729			
43	00:00:02:125	18	8	256				0,07159633	0,031820591	1,018258919	1,021268726			
44	00:00:02:125	16	6	250				0,063641182	0,023865443	0,994393476	0,996713672			
45	00:00:02:126	16	6	249				0,063641182	0,023865443	0,990415902	0,992745395			
46	00:00:02:126	17	5	252				0,067618756	0,01988787	1,002348624	1,00482366			
47	00:00:02:126	15	3	253				0,059663609	0,011932722	1,006326198	1,008163951			
48	00:00:02:126	14	4	252				0,055686035	0,015910296	1,002348624	1,004020336			
49	00:00:02:126	17	6	248				0,067618756	0,023865443	0,986438328	0,989041168			
50	00:00:02:126	18	8	251				0,07159633	0,031820591	0,99837105	1,001440631			
51	00:00:02:126	15	10	248				0,059663609	0,039775739	0,986438328	0,989041168			
52	00:00:02:126	19	5	247				0,075573904	0,01988787	0,982460754	0,985563837			
53	00:00:02:126	16	7	253				0,063641182	0,027843017	1,006326198	1,008720898			
54	00:00:02:126	18	8	249				0,07159633	0,031820591	0,990415902	0,993510062			
55	00:00:02:126	19	8	252				0,075573904	0,031820591	1,002348624	1,005697136			
56	00:00:02:126	20	3	251				0,079551478	0,011932722	0,99837105	1,0016065			
57	00:00:02:126	16	4	250				0,063641182	0,015910296	0,994393476	0,996554927			
58	00:00:02:126	14	4	253				0,055686035	0,015910296	1,006326198	1,007991314			
59	00:00:02:126	14	9	249				0,055686035	0,035798165	0,990415902	0,992625862			
60	00:00:02:126	13	7	253				0,051708461	0,027843017	1,006326198	1,008038399			
61	00:00:02:126	12	7	252				0,047730887	0,027843017	1,002348624	1,003870627			
62	00:00:02:127	13	5	246				0,051708461	0,01988787	0,97848318	0,980050318			
63	00:00:02:127	15	6	246				0,059663609	0,023865443	0,97848318	0,980590965			
64	00:00:02:127	12	7	249				0,047730887	0,027843017	0,990415902	0,991956214			
65	00:00:02:127	10	5	253				0,039775739	0,01988787	1,006326198	1,007308321			
66	00:00:02:127	12	6	255				0,047730887	0,023865443	1,014281346	1,015684225			
67	00:00:02:127	12	6	254				0,047730887	0,023865443	1,010303772	1,011712167			
68	00:00:02:127	9	8	253				0,035798165	0,031820591	1,006326198	1,007465372			
69	00:00:02:127	12	7	254				0,047730887	0,027843017	1,010303772	1,011813808			
70	00:00:02:127	15	3	251				0,059663609	0,011932722	0,99837105	1,00022342			
71	00:00:02:127	15	3	252				0,059663609	0,011932722	1,002348624	1,004193657			
72	00:00:02:127	11	5	252				0,043753313	0,01988787	1,002348624	1,003500196			
73	00:00:02:127	9	8	250				0,035798165	0,031820591	0,994393476	0,995546304			
74	00:00:02:127	12	3	254				0,047730887	0,011932722	1,010303772	1,011501032			
75	00:00:02:127	12	6	252				0,047730887	0,023865443	1,002348624	1,003768181			
76	00:00:02:127	11	7	256				0,043753313	0,027843017	1,018258919	1,019578743			
77	00:00:02:127	16	6	255				0,063641182	0,023865443	1,014281346	1,016556151			
78	00:00:02:127	18	4	254				0,07159633	0,015910296	1,010303772	1,012962429			
79	00:00:02:127	18	4	253				0,07159633	0,015910296	1,006326198	1,008995336			
80	00:00:03:000	16	5	255				0,063641182	0,01988787	1,014281346	1,016470548			
81	00:00:03:000	9	8	248				0,035798165	0,031820591	0,986438328	0,987600443			
82	00:00:03:000	14	4	247				0,055686035	0,015910296	0,982460754	0,984166249			
83	00:00:03:000	13	7	249				0,051708461	0,027843017	0,990415902	0,992155561			
84	00:00:03:000	12	7	252				0,047730887	0,027843017	1,002348624	1,003870627			
85	00:00:03:001	13	5	253				0,051708461	0,01988787	1,006326198	1,007850043			
86	00:00:03:001	11	6	254				0,043753313	0,023865443	1,010303772	1,011532314			
87	00:00:03:001	10	10	255				0,039775739	0,039775739	1,014281346	1,015839981			
88	00:00:03:001	10	5	249				0,039775739	0,01988787	0,990415902	0,991413786			
89	00:00:03:001	12	6	250				0,047730887	0,023865443	0,994393476	0,995824373			
90	00:00:03:001	15	3	248				0,059663609	0,011932722	0,986438328	0,988313063			
91	00:00:03:001	16	4	251				0,063641182	0,015910296	0,99837105	1,000523908			
92	00:00:03:001	11	7	251				0,043753313	0,027843017	0,99837105	0,99971713			
93	00:00:03:001	13	7	256				0,051708461	0,027843017	1,018258919	1,01995109			
94	00:00:03:001	11	6	253				0,043753313	0,023865443	1,006326198	1,00755959			
95	00:00:03:001	11	6	257				0,043753313	0,023865443	1,022236493	1,023450712			
96	00:00:03:001	13	6	256				0,051708461	0,023865443	1,018258919	1,019850259			
97	00:00:03:001	14	8	251				0,055686035	0,031820591	0,99837105	1,000429027			
98	00:00:03:002	15	5	245				0,059663609	0,01988787	0,974505607	0,976532872			
99	00:00:03:002	14	7	246				0,055686035	0,027843017	0,97848318	0,980461882			
100	00:00:03:117	14	3	248				0,055686035	0,011932722	0,986438328	0,988080918			
101	00:00:03:118	14	4	251				0,055686035	0,015910296	0,99837105	1,000049411			
102	00:00:03:118	8	7	254				0,031820591	0,027843017	1,010303772	1,01118816			
103	00:00:03:118	8	5	255				0,031820591	0,01988787	1,014281346	1,014975234			
104	00:00:03:118	12	6	254				0,047730887	0,023865443	1,010303772	1,011712167			
105	00:00:03:118	11	9	254				0,043753313	0,035798165	1,010303772	1,011884169			
106	00:00:03:118	14	5	252				0,055686035	0,01988787	1,002348624	1,004091244			
107	00:00:03:118	13	3	247				0,051708461	0,011932722	0,982460754	0,983892925			
108	00:00:03:118	17	4	251				0,067618756	0,015910296	0,99837105	1,000784786			
109	00:00:03:118	12	5	252				0,047730887	0,01988787	1,002348624	1,003681488			
110	00:00:03:118	9	7	250				0,035798165	0,027843017	0,994393476	0,995427108			
111	00:00:03:118	11	5	250				0,043753313	0,01988787	0,994393476	0,99555425			
112	00:00:03:118	13	7	247				0,051708461	0,027843017	0,982460754	0,984214475			
113	00:00:03:118	10	10	253				0,039775739	0,039775739	1,006326198	1,007897135			
114	00:00:03:118	6	9	251				0,023865443	0,035798165	0,99837105	0,999297664			
115	00:00:03:119	11	11	249				0,043753313	0,043753313	0,990415902	0,992346897			
116	00:00:03:119	12	12	252				0,047730887	0,047730887	1,002348624	1,004618952			
117	00:00:03:119	16	7	251				0,063641182	0,027843017	0,99837105	1,000784786			
118	00:00:03:119	9	7	253				0,035798165	0,027843017	1,006326198	1,007347586			
119	00:00:03:119	11	8	248				0,043753313	0,031820591	0,986438328	0,987920785			
120	00:00:03:119	14	5	253				0,055686035	0,01988787	1,006326198	1,008061942			
121	00:00:03:119	12	7	251				0,047730887	0,027843017	0,99837105	0,999899107			
122	00:00:03:119	14	5	247				0,055686035	0,01988787	0,982460754	0,984238587			
123	00:00:03:119	15	4	253				0,059663609	0,015910296	1,006326198	1,008218875			
124	00:00:03:120	15	4	255				0,059663609	0,015910296	1,014281346	1,016159206			
125	00:00:03:120	13	7	254				0,051708461	0,027843017	1,010303772	1,012009244			
126	00:00:03:120	13	6	254				0,051708461	0,023865443	1,010303772	1,011907622			
127	00:00:03:120	11	9	256				0,043753313	0,035798165	1,018258919	1,019826989			
128	00:00:03:120	13	7	251				0,051708461	0,027843017	0,99837105	1,000096871			
129	00:00:03:120	13	9	254				0,051708461	0,035798165	1,010303772	1,012259346			
130	00:00:03:120	14	7	249				0,055686035	0,027843017	0,990415902	0,992370811			
131	00:00:03:120	13	5	245				0,051708461	0,01988787	0,974505607	0,976079131			
132	00:00:03:121	15	5	247				0,059663609	0,01988787	0,982460754	0,984471639			
133	00:00:03:121	12	9	251				0,047730887	0,035798165	0,99837105	1,000152238			
134	00:00:03:121	12	6	252				0,047730887	0,023865443	1,002348624	1,003768181			
