ndx:	HR:MN:SC:1/128s:	x:	y:	z:	unit factor			x:	y:	z:
131	00:00:03:116	0	1	251				0	0,003977574	0,99837105
132	00:00:03:116	0	0	249				0	0	0,990415902
133	00:00:03:116	-2	3	256				-0,007955148	0,011932722	1,018258919
134	00:00:03:116	0	1	254				0	0,003977574	1,010303772
135	00:00:03:116	1	2	251				0,003977574	0,007955148	0,99837105
136	00:00:03:116	0	0	249				0	0	0,990415902
137	00:00:03:117	0	1	251				0	0,003977574	0,99837105
138	00:00:03:117	3	-1	249				0,011932722	-0,003977574	0,990415902
139	00:00:03:117	0	0	249				0	0	0,990415902
140	00:00:03:117	1	0	250				0,003977574	0	0,994393476
141	00:00:03:117	-1	1	250				-0,003977574	0,003977574	0,994393476
142	00:00:03:117	0	1	255				0	0,003977574	1,014281346
143	00:00:03:117	0	3	253				0	0,011932722	1,006326198
144	00:00:03:117	0	0	256				0	0	1,018258919
145	00:00:03:117	-1	2	252				-0,003977574	0,007955148	1,002348624
146	00:00:03:117	0	2	255				0	0,007955148	1,014281346
147	00:00:03:117	-2	5	253				-0,007955148	0,01988787	1,006326198
148	00:00:03:117	1	1	249				0,003977574	0,003977574	0,990415902
149	00:00:03:117	2	2	246				0,007955148	0,007955148	0,97848318
150	00:00:03:117	-3	4	248				-0,011932722	0,015910296	0,986438328
151	00:00:03:117	2	2	252				0,007955148	0,007955148	1,002348624
152	00:00:03:117	1	1	249				0,003977574	0,003977574	0,990415902
153	00:00:03:117	0	2	255				0	0,007955148	1,014281346
154	00:00:03:118	0	2	254				0	0,007955148	1,010303772
155	00:00:03:118	0	2	252				0	0,007955148	1,002348624
156	00:00:03:118	-1	3	255				-0,003977574	0,011932722	1,014281346
157	00:00:03:118	0	2	253				0	0,007955148	1,006326198
158	00:00:03:118	0	2	248				0	0,007955148	0,986438328
159	00:00:03:118	0	3	253				0	0,011932722	1,006326198
160	00:00:03:119	0	2	251				0	0,007955148	0,99837105
161	00:00:03:119	0	1	246				0	0,003977574	0,97848318
162	00:00:03:119	0	1	247				0	0,003977574	0,982460754
163	00:00:03:119	-1	2	252				-0,003977574	0,007955148	1,002348624
164	00:00:03:119	0	1	252				0	0,003977574	1,002348624
165	00:00:03:119	1	1	249				0,003977574	0,003977574	0,990415902
166	00:00:03:119	0	1	249				0	0,003977574	0,990415902
167	00:00:03:119	-1	1	252				-0,003977574	0,003977574	1,002348624
168	00:00:03:119	0	1	254				0	0,003977574	1,010303772
169	00:00:03:119	0	0	253				0	0	1,006326198
170	00:00:03:119	-2	0	254				-0,007955148	0	1,010303772
171	00:00:03:119	0	1	250				0	0,003977574	0,994393476
172	00:00:03:120	1	1	249				0,003977574	0,003977574	0,990415902
173	00:00:03:120	2	1	249				0,007955148	0,003977574	0,990415902
174	00:00:03:120	1	1	249				0,003977574	0,003977574	0,990415902
175	00:00:03:120	3	0	250				0,011932722	0	0,994393476
176	00:00:03:120	3	0	253				0,011932722	0	1,006326198
177	00:00:03:120	-1	3	252				-0,003977574	0,011932722	1,002348624
178	00:00:03:120	0	2	251				0	0,007955148	0,99837105
179	00:00:03:120	0	0	254				0	0	1,010303772
180	00:00:03:120	0	1	251				0	0,003977574	0,99837105
181	00:00:03:120	0	0	248				0	0	0,986438328
182	00:00:03:120	1	2	246				0,003977574	0,007955148	0,97848318
183	00:00:03:120	0	1	250				0	0,003977574	0,994393476
184	00:00:03:120	1	1	248				0,003977574	0,003977574	0,986438328
